,output_dim,base_filters,kernel_size,activation,nblocks,pool,dropout,closer,metrics,epochs,batch_size,optimizer,accuracy,loss,val_accuracy,val_loss,len_dataset,n_features,dominant_class,thickness
28,2,32,3,relu,4,2,False,False,accuracy,9,32,rmsprop,0.926562488079071,0.22297722101211548,0.7212499976158142,0.7921169400215149,8000,150,0.5,3
29,2,32,3,relu,4,2,False,False,accuracy,7,32,sgd,0.9626562595367432,0.09686388075351715,0.7149999737739563,0.9232487678527832,8000,150,0.5,3
30,2,32,3,relu,4,2,True,True,accuracy,8,32,adam,0.9681249856948853,0.08760516345500946,0.7574999928474426,1.0232130289077759,8000,150,0.5,3
31,2,32,3,relu,4,2,True,True,accuracy,9,32,rmsprop,0.9456250071525574,0.18781030178070068,0.6987500190734863,0.8267133831977844,8000,150,0.5,3
32,2,32,3,relu,4,2,True,True,accuracy,19,32,sgd,0.5026562213897705,0.6931875348091125,0.4893749952316284,0.6933313608169556,8000,150,0.5,3
33,2,32,3,relu,4,2,True,False,accuracy,9,32,adam,0.5026562213897705,0.6931631565093994,0.4893749952316284,0.6931988596916199,8000,150,0.5,3
34,2,32,3,relu,4,2,True,False,accuracy,9,32,rmsprop,0.983593761920929,0.050123363733291626,0.7268750071525574,1.2220687866210938,8000,150,0.5,3
35,2,32,3,relu,4,2,True,False,accuracy,8,32,sgd,0.49171873927116394,0.6931988000869751,0.4893749952316284,0.693342924118042,8000,150,0.5,3
36,2,32,3,relu,5,2,False,True,accuracy,9,32,adam,0.5026562213897705,0.6931822896003723,0.4893749952316284,0.6932489275932312,8000,150,0.5,3
37,2,32,3,relu,5,2,False,True,accuracy,8,32,rmsprop,0.49796876311302185,0.6932090520858765,0.4893749952316284,0.6932299733161926,8000,150,0.5,3
38,2,32,3,relu,5,2,False,True,accuracy,6,32,sgd,0.4945312440395355,0.6932022571563721,0.4893749952316284,0.6933590769767761,8000,150,0.5,3
39,2,32,3,relu,5,2,False,False,accuracy,9,32,adam,0.9571874737739563,0.11223581433296204,0.7287499904632568,0.9437373876571655,8000,150,0.5,3
40,2,32,3,relu,5,2,False,False,accuracy,6,32,rmsprop,0.5026562213897705,0.6932296752929688,0.4893749952316284,0.6932130455970764,8000,150,0.5,3
41,2,32,3,relu,5,2,False,False,accuracy,8,32,sgd,0.5026562213897705,0.6931760907173157,0.4893749952316284,0.6932394504547119,8000,150,0.5,3
42,2,32,3,relu,5,2,True,True,accuracy,11,32,adam,0.4976562559604645,0.6932345032691956,0.4893749952316284,0.6934558153152466,8000,150,0.5,3
43,2,32,3,relu,5,2,True,True,accuracy,11,32,rmsprop,0.500781238079071,0.6931880116462708,0.4893749952316284,0.6933128833770752,8000,150,0.5,3
44,2,32,3,relu,5,2,True,True,accuracy,6,32,sgd,0.4976562559604645,0.6931841969490051,0.4893749952316284,0.6933653950691223,8000,150,0.5,3
45,2,32,3,relu,5,2,True,False,accuracy,7,32,adam,0.5026562213897705,0.6931906938552856,0.4893749952316284,0.6932966709136963,8000,150,0.5,3
46,2,32,3,relu,5,2,True,False,accuracy,6,32,rmsprop,0.4964062571525574,0.6931968927383423,0.4893749952316284,0.6933164000511169,8000,150,0.5,3
47,2,32,3,relu,5,2,True,False,accuracy,6,32,sgd,0.5026562213897705,0.6931988596916199,0.4893749952316284,0.6934105157852173,8000,150,0.5,3
48,2,32,3,tanh,2,2,False,True,accuracy,8,32,adam,0.4998437464237213,0.6932043433189392,0.4893749952316284,0.6933290958404541,8000,150,0.5,3
49,2,32,3,tanh,2,2,False,True,accuracy,8,32,rmsprop,0.9681249856948853,0.08150304853916168,0.7081249952316284,1.0792899131774902,8000,150,0.5,3
50,2,32,3,tanh,2,2,False,True,accuracy,8,32,sgd,0.9737499952316284,0.07501377165317535,0.7200000286102295,1.025510549545288,8000,150,0.5,3
51,2,32,3,tanh,2,2,False,False,accuracy,9,32,adam,0.49609375,0.6932078003883362,0.4893749952316284,0.6932972073554993,8000,150,0.5,3
52,2,32,3,tanh,2,2,False,False,accuracy,9,32,rmsprop,0.9553124904632568,0.11206014454364777,0.7418749928474426,1.044562578201294,8000,150,0.5,3
53,2,32,3,tanh,2,2,False,False,accuracy,14,32,sgd,0.4957812428474426,0.6931996941566467,0.4893749952316284,0.6933391690254211,8000,150,0.5,3
54,2,32,3,tanh,2,2,True,True,accuracy,8,32,adam,0.9809374809265137,0.05024254694581032,0.7162500023841858,1.3551315069198608,8000,150,0.5,3
55,2,32,3,tanh,2,2,True,True,accuracy,7,32,rmsprop,0.9696875214576721,0.08400078117847443,0.7237499952316284,0.9794982075691223,8000,150,0.5,3
56,2,32,3,tanh,2,2,True,True,accuracy,8,32,sgd,0.98828125,0.04133148118853569,0.7250000238418579,1.1322500705718994,8000,150,0.5,3
57,2,32,3,tanh,2,2,True,False,accuracy,6,32,adam,0.49921876192092896,0.6931913495063782,0.4893749952316284,0.6931471824645996,8000,150,0.5,3
58,2,32,3,tanh,2,2,True,False,accuracy,8,32,rmsprop,0.9896875023841858,0.03627040237188339,0.6962500214576721,1.562983512878418,8000,150,0.5,3
59,2,32,3,tanh,2,2,True,False,accuracy,6,32,sgd,0.4957812428474426,0.6932229399681091,0.4893749952316284,0.6933885812759399,8000,150,0.5,3
60,2,32,3,tanh,3,2,False,True,accuracy,8,32,adam,0.5026562213897705,0.6932348012924194,0.4893749952316284,0.6932399868965149,8000,150,0.5,3
61,2,32,3,tanh,3,2,False,True,accuracy,10,32,rmsprop,0.9432812333106995,0.19071851670742035,0.7337499856948853,0.8657243251800537,8000,150,0.5,3
62,2,32,3,tanh,3,2,False,True,accuracy,6,32,sgd,0.4948437511920929,0.6932547688484192,0.4893749952316284,0.6933366656303406,8000,150,0.5,3
63,2,32,3,tanh,3,2,False,False,accuracy,8,32,adam,0.9803125262260437,0.05790790170431137,0.7293750047683716,1.2797092199325562,8000,150,0.5,3
64,2,32,3,tanh,3,2,False,False,accuracy,9,32,rmsprop,0.9879687428474426,0.03782076761126518,0.715624988079071,1.3342525959014893,8000,150,0.5,3
65,2,32,3,tanh,3,2,False,False,accuracy,16,32,sgd,0.5026562213897705,0.6932145953178406,0.4893749952316284,0.6932045221328735,8000,150,0.5,3
66,2,32,3,tanh,3,2,True,True,accuracy,8,32,adam,0.5026562213897705,0.693227231502533,0.4893749952316284,0.6932146549224854,8000,150,0.5,3
67,2,32,3,tanh,3,2,True,True,accuracy,7,32,rmsprop,0.5026562213897705,0.6932187080383301,0.4893749952316284,0.6933251023292542,8000,150,0.5,3
68,2,32,3,tanh,3,2,True,True,accuracy,8,32,sgd,0.5026562213897705,0.6931771636009216,0.4893749952316284,0.6932742595672607,8000,150,0.5,3
69,2,32,3,tanh,3,2,True,False,accuracy,21,32,adam,0.5001562237739563,0.6931743621826172,0.4893749952316284,0.6933894157409668,8000,150,0.5,3
70,2,32,3,tanh,3,2,True,False,accuracy,6,32,rmsprop,0.5026562213897705,0.6931813955307007,0.4893749952316284,0.6931979656219482,8000,150,0.5,3
71,2,32,3,tanh,3,2,True,False,accuracy,13,32,sgd,0.4957812428474426,0.6931989192962646,0.4893749952316284,0.6933448314666748,8000,150,0.5,3
72,2,32,3,tanh,4,2,False,True,accuracy,6,32,adam,0.5026562213897705,0.6932149529457092,0.4893749952316284,0.6933302283287048,8000,150,0.5,3
73,2,32,3,tanh,4,2,False,True,accuracy,7,32,rmsprop,0.4989062547683716,0.6931974291801453,0.4893749952316284,0.6933613419532776,8000,150,0.5,3
74,2,32,3,tanh,4,2,False,True,accuracy,13,32,sgd,0.4957812428474426,0.6932216882705688,0.4893749952316284,0.6932723522186279,8000,150,0.5,3
75,2,32,3,tanh,4,2,False,False,accuracy,7,32,adam,0.9709374904632568,0.07846631109714508,0.7093750238418579,1.3207882642745972,8000,150,0.5,3
76,2,32,3,tanh,4,2,False,False,accuracy,8,32,rmsprop,0.9803125262260437,0.05639619380235672,0.7024999856948853,1.2206823825836182,8000,150,0.5,3
77,2,32,3,tanh,4,2,False,False,accuracy,9,32,sgd,0.5026562213897705,0.693217396736145,0.4893749952316284,0.693264365196228,8000,150,0.5,3
78,2,32,3,tanh,4,2,True,True,accuracy,6,32,adam,0.5026562213897705,0.6931881904602051,0.4893749952316284,0.693291425704956,8000,150,0.5,3
79,2,32,3,tanh,4,2,True,True,accuracy,10,32,rmsprop,0.5026562213897705,0.6931893825531006,0.4893749952316284,0.6932474374771118,8000,150,0.5,3
80,2,32,3,tanh,4,2,True,True,accuracy,9,32,sgd,0.9743750095367432,0.07422013580799103,0.6818749904632568,1.0199000835418701,8000,150,0.5,3
81,2,32,3,tanh,4,2,True,False,accuracy,8,32,adam,0.5026562213897705,0.6931915283203125,0.4893749952316284,0.6932406425476074,8000,150,0.5,3
82,2,32,3,tanh,4,2,True,False,accuracy,6,32,rmsprop,0.5026562213897705,0.6932308673858643,0.4893749952316284,0.6932348012924194,8000,150,0.5,3
83,2,32,3,tanh,4,2,True,False,accuracy,8,32,sgd,0.5017187595367432,0.6931983828544617,0.4893749952316284,0.69325852394104,8000,150,0.5,3
84,2,32,3,tanh,5,2,False,True,accuracy,6,32,adam,0.5026562213897705,0.6932204961776733,0.4893749952316284,0.6934002041816711,8000,150,0.5,3
85,2,32,3,tanh,5,2,False,True,accuracy,8,32,rmsprop,0.9612500071525574,0.10230401158332825,0.7268750071525574,0.8964771032333374,8000,150,0.5,3
86,2,32,3,tanh,5,2,False,True,accuracy,10,32,sgd,0.9498437643051147,0.12977881729602814,0.7137500047683716,1.10173761844635,8000,150,0.5,3
87,2,32,3,tanh,5,2,False,False,accuracy,9,32,adam,0.9740625023841858,0.06977561116218567,0.7037500143051147,1.2515926361083984,8000,150,0.5,3
88,2,32,3,tanh,5,2,False,False,accuracy,7,32,rmsprop,0.49828124046325684,0.693215012550354,0.4893749952316284,0.6934051513671875,8000,150,0.5,3
89,2,32,3,tanh,5,2,False,False,accuracy,7,32,sgd,0.4973437488079071,0.6931981444358826,0.4893749952316284,0.6932210326194763,8000,150,0.5,3
90,2,32,3,tanh,5,2,True,True,accuracy,8,32,adam,0.9760937690734863,0.06867915391921997,0.7331249713897705,1.2329579591751099,8000,150,0.5,3
91,2,32,3,tanh,5,2,True,True,accuracy,6,32,rmsprop,0.5026562213897705,0.6932079195976257,0.4893749952316284,0.6932774186134338,8000,150,0.5,3
92,2,32,3,tanh,5,2,True,True,accuracy,7,32,sgd,0.9582812786102295,0.11575828492641449,0.7418749928474426,0.8731717467308044,8000,150,0.5,3
93,2,32,3,tanh,5,2,True,False,accuracy,8,32,adam,0.9823437333106995,0.05475607514381409,0.7275000214576721,1.0930140018463135,8000,150,0.5,3
94,2,32,3,tanh,5,2,True,False,accuracy,6,32,rmsprop,0.5026562213897705,0.6931970119476318,0.4893749952316284,0.6933000683784485,8000,150,0.5,3
95,2,32,3,tanh,5,2,True,False,accuracy,7,32,sgd,0.9717187285423279,0.0783982127904892,0.7250000238418579,1.1304535865783691,8000,150,0.5,3
96,2,64,3,relu,2,2,False,True,accuracy,8,32,adam,0.9745312333106995,0.0712210088968277,0.7300000190734863,1.0982266664505005,8000,150,0.5,3
97,2,64,3,relu,2,2,False,True,accuracy,10,32,rmsprop,0.9545312523841858,0.1642400175333023,0.7325000166893005,0.8486295938491821,8000,150,0.5,3
98,2,64,3,relu,2,2,False,True,accuracy,7,32,sgd,0.9729687571525574,0.07771292328834534,0.690625011920929,1.3671847581863403,8000,150,0.5,3
99,2,64,3,relu,2,2,False,False,accuracy,7,32,adam,0.9767187237739563,0.0628611296415329,0.7212499976158142,1.3458430767059326,8000,150,0.5,3
100,2,64,3,relu,2,2,False,False,accuracy,8,32,rmsprop,0.9745312333106995,0.07191181927919388,0.7106249928474426,1.2808592319488525,8000,150,0.5,3
101,2,64,3,relu,2,2,False,False,accuracy,6,32,sgd,0.5026562213897705,0.6931819319725037,0.4893749952316284,0.6932471990585327,8000,150,0.5,3
102,2,64,3,relu,2,2,True,True,accuracy,9,32,adam,0.49015626311302185,0.6932140588760376,0.4893749952316284,0.6932392716407776,8000,150,0.5,3
103,2,64,3,relu,2,2,True,True,accuracy,6,32,rmsprop,0.5026562213897705,0.6931968927383423,0.4893749952316284,0.6932322978973389,8000,150,0.5,3
104,2,64,3,relu,2,2,True,True,accuracy,8,32,sgd,0.4985937476158142,0.6931799054145813,0.4893749952316284,0.6932636499404907,8000,150,0.5,3
105,2,64,3,relu,2,2,True,False,accuracy,8,32,adam,0.9776562452316284,0.059643249958753586,0.7231249809265137,1.2948317527770996,8000,150,0.5,3
106,2,64,3,relu,2,2,True,False,accuracy,8,32,rmsprop,0.9743750095367432,0.07377990335226059,0.7318750023841858,0.9633407592773438,8000,150,0.5,3
107,2,64,3,relu,2,2,True,False,accuracy,9,32,sgd,0.5026562213897705,0.6931774616241455,0.4893749952316284,0.693234384059906,8000,150,0.5,3
108,2,64,3,relu,3,2,False,True,accuracy,10,32,adam,0.9850000143051147,0.04122599586844444,0.7281249761581421,1.2412211894989014,8000,150,0.5,3
109,2,64,3,relu,3,2,False,True,accuracy,6,32,rmsprop,0.4989062547683716,0.6931946277618408,0.4893749952316284,0.6932414174079895,8000,150,0.5,3
110,2,64,3,relu,3,2,False,True,accuracy,8,32,sgd,0.9767187237739563,0.0668717548251152,0.7237499952316284,1.2242436408996582,8000,150,0.5,3
111,2,64,3,relu,3,2,False,False,accuracy,8,32,adam,0.49828124046325684,0.69316565990448,0.4893749952316284,0.6933408975601196,8000,150,0.5,3
112,2,64,3,relu,3,2,False,False,accuracy,17,32,rmsprop,0.5026562213897705,0.6932157278060913,0.4893749952316284,0.6933852434158325,8000,150,0.5,3
113,2,64,3,relu,3,2,False,False,accuracy,8,32,sgd,0.9676562547683716,0.08706903457641602,0.7206249833106995,1.038642406463623,8000,150,0.5,3
114,2,64,3,relu,3,2,True,True,accuracy,16,32,adam,0.4976562559604645,0.6932371258735657,0.4893749952316284,0.6932038068771362,8000,150,0.5,3
115,2,64,3,relu,3,2,True,True,accuracy,11,32,rmsprop,0.5004687309265137,0.6931816339492798,0.4893749952316284,0.6932236552238464,8000,150,0.5,3
116,2,64,3,relu,3,2,True,True,accuracy,8,32,sgd,0.49265626072883606,0.6932862997055054,0.4893749952316284,0.6932369470596313,8000,150,0.5,3
117,2,64,3,relu,3,2,True,False,accuracy,7,32,adam,0.49953123927116394,0.6931880712509155,0.4893749952316284,0.6932384967803955,8000,150,0.5,3
118,2,64,3,relu,3,2,True,False,accuracy,8,32,rmsprop,0.49703124165534973,0.6931818127632141,0.4893749952316284,0.6933227777481079,8000,150,0.5,3
119,2,64,3,relu,3,2,True,False,accuracy,8,32,sgd,0.9554687738418579,0.11920364201068878,0.7056249976158142,1.1078909635543823,8000,150,0.5,3
120,2,64,3,relu,4,2,False,True,accuracy,7,32,adam,0.9770312309265137,0.06594280898571014,0.7137500047683716,1.0517020225524902,8000,150,0.5,3
121,2,64,3,relu,4,2,False,True,accuracy,8,32,rmsprop,0.9743750095367432,0.07428188621997833,0.7006250023841858,1.2610397338867188,8000,150,0.5,3
122,2,64,3,relu,4,2,False,True,accuracy,10,32,sgd,0.9876562356948853,0.037652239203453064,0.7306249737739563,1.2109543085098267,8000,150,0.5,3
123,2,64,3,relu,4,2,False,False,accuracy,12,32,adam,0.5026562213897705,0.6931623816490173,0.4893749952316284,0.6933109760284424,8000,150,0.5,3
124,2,64,3,relu,4,2,False,False,accuracy,8,32,rmsprop,0.5026562213897705,0.6932029128074646,0.4893749952316284,0.6931958198547363,8000,150,0.5,3
125,2,64,3,relu,4,2,False,False,accuracy,8,32,sgd,0.9635937213897705,0.09746439754962921,0.7362499833106995,0.9862927794456482,8000,150,0.5,3
126,2,64,3,relu,4,2,True,True,accuracy,15,32,adam,0.9823437333106995,0.048097118735313416,0.7250000238418579,1.3108562231063843,8000,150,0.5,3
127,2,64,3,relu,4,2,True,True,accuracy,7,32,rmsprop,0.49609375,0.6932316422462463,0.4893749952316284,0.6933281421661377,8000,150,0.5,3
128,2,64,3,relu,4,2,True,True,accuracy,11,32,sgd,0.5026562213897705,0.6932095885276794,0.4893749952316284,0.6932373046875,8000,150,0.5,3
129,2,64,3,relu,4,2,True,False,accuracy,13,32,adam,0.5026562213897705,0.6932031512260437,0.4893749952316284,0.693274974822998,8000,150,0.5,3
130,2,64,3,relu,4,2,True,False,accuracy,8,32,rmsprop,0.9721875190734863,0.0758601650595665,0.6987500190734863,1.2985563278198242,8000,150,0.5,3
131,2,64,3,relu,4,2,True,False,accuracy,9,32,sgd,0.9856250286102295,0.04408961161971092,0.7400000095367432,1.286323070526123,8000,150,0.5,3
132,2,64,3,relu,5,2,False,True,accuracy,12,32,adam,0.98828125,0.04221634939312935,0.7068750262260437,1.752167820930481,8000,150,0.5,3
133,2,64,3,relu,5,2,False,True,accuracy,8,32,rmsprop,0.9770312309265137,0.06743554770946503,0.7093750238418579,1.2711443901062012,8000,150,0.5,3
134,2,64,3,relu,5,2,False,True,accuracy,8,32,sgd,0.5026562213897705,0.693198025226593,0.4893749952316284,0.6933400630950928,8000,150,0.5,3
135,2,64,3,relu,5,2,False,False,accuracy,8,32,adam,0.9826562404632568,0.0491151437163353,0.7418749928474426,1.3159706592559814,8000,150,0.5,3
136,2,64,3,relu,5,2,False,False,accuracy,6,32,rmsprop,0.5026562213897705,0.6931967735290527,0.4893749952316284,0.6933613419532776,8000,150,0.5,3
137,2,64,3,relu,5,2,False,False,accuracy,6,32,sgd,0.5026562213897705,0.6931937336921692,0.4893749952316284,0.6932829022407532,8000,150,0.5,3
138,2,64,3,relu,5,2,True,True,accuracy,16,32,adam,0.49671876430511475,0.6932016015052795,0.4893749952316284,0.6932345628738403,8000,150,0.5,3
139,2,64,3,relu,5,2,True,True,accuracy,12,32,rmsprop,0.5026562213897705,0.6932010054588318,0.4893749952316284,0.6932421326637268,8000,150,0.5,3
140,2,64,3,relu,5,2,True,True,accuracy,8,32,sgd,0.9764062762260437,0.0654536709189415,0.7243750095367432,1.1171622276306152,8000,150,0.5,3
141,2,64,3,relu,5,2,True,False,accuracy,9,32,adam,0.4989062547683716,0.6931979656219482,0.4893749952316284,0.6932561993598938,8000,150,0.5,3
142,2,64,3,relu,5,2,True,False,accuracy,6,32,rmsprop,0.49390625953674316,0.6931841373443604,0.4893749952316284,0.6932610869407654,8000,150,0.5,3
143,2,64,3,relu,5,2,True,False,accuracy,7,32,sgd,0.9748437404632568,0.06852937489748001,0.7006250023841858,1.383668065071106,8000,150,0.5,3
144,2,64,3,tanh,2,2,False,True,accuracy,6,32,adam,0.4898437559604645,0.6931960582733154,0.4893749952316284,0.6933032870292664,8000,150,0.5,3
145,2,64,3,tanh,2,2,False,True,accuracy,6,32,rmsprop,0.5026562213897705,0.6931876540184021,0.4893749952316284,0.6932598352432251,8000,150,0.5,3
146,2,64,3,tanh,2,2,False,True,accuracy,6,32,sgd,0.5026562213897705,0.6932113170623779,0.4893749952316284,0.6932364702224731,8000,150,0.5,3
147,2,64,3,tanh,2,2,False,False,accuracy,8,32,adam,0.9667187333106995,0.09294018894433975,0.7250000238418579,0.9596078991889954,8000,150,0.5,3
148,2,64,3,tanh,2,2,False,False,accuracy,9,32,rmsprop,0.5026562213897705,0.6931982636451721,0.48875001072883606,0.6932833790779114,8000,150,0.5,3
149,2,64,3,tanh,2,2,False,False,accuracy,12,32,sgd,0.5026562213897705,0.6931934952735901,0.4893749952316284,0.6933624148368835,8000,150,0.5,3
150,2,64,3,tanh,2,2,True,True,accuracy,11,32,adam,0.9614062309265137,0.1436852365732193,0.7331249713897705,0.9584200978279114,8000,150,0.5,3
151,2,64,3,tanh,2,2,True,True,accuracy,8,32,rmsprop,0.9768750071525574,0.07009533047676086,0.7024999856948853,1.2620338201522827,8000,150,0.5,3
152,2,64,3,tanh,2,2,True,True,accuracy,6,32,sgd,0.5026562213897705,0.6932269334793091,0.4893749952316284,0.6932920813560486,8000,150,0.5,3
153,2,64,3,tanh,2,2,True,False,accuracy,8,32,adam,0.4948437511920929,0.6931923031806946,0.4893749952316284,0.6933310031890869,8000,150,0.5,3
154,2,64,3,tanh,2,2,True,False,accuracy,8,32,rmsprop,0.9751562476158142,0.07042408734560013,0.7356250286102295,1.102918267250061,8000,150,0.5,3
155,2,64,3,tanh,2,2,True,False,accuracy,9,32,sgd,0.9828125238418579,0.04713834449648857,0.7162500023841858,1.1991698741912842,8000,150,0.5,3
156,2,64,3,tanh,3,2,False,True,accuracy,6,32,adam,0.4976562559604645,0.6932263374328613,0.4893749952316284,0.6933057308197021,8000,150,0.5,3
157,2,64,3,tanh,3,2,False,True,accuracy,6,32,rmsprop,0.5026562213897705,0.6932525634765625,0.4893749952316284,0.693225085735321,8000,150,0.5,3
158,2,64,3,tanh,3,2,False,True,accuracy,6,32,sgd,0.4964062571525574,0.693196713924408,0.4893749952316284,0.6932855248451233,8000,150,0.5,3
159,2,64,3,tanh,3,2,False,False,accuracy,6,32,adam,0.5026562213897705,0.6932120323181152,0.4893749952316284,0.6931983232498169,8000,150,0.5,3
160,2,64,3,tanh,3,2,False,False,accuracy,6,32,rmsprop,0.5026562213897705,0.6931999325752258,0.4893749952316284,0.693246603012085,8000,150,0.5,3
161,2,64,3,tanh,3,2,False,False,accuracy,16,32,sgd,0.5026562213897705,0.6931830048561096,0.4893749952316284,0.6932376027107239,8000,150,0.5,3
162,2,64,3,tanh,3,2,True,True,accuracy,16,32,adam,0.4973437488079071,0.6931979656219482,0.4893749952316284,0.6932215690612793,8000,150,0.5,3
163,2,64,3,tanh,3,2,True,True,accuracy,9,32,rmsprop,0.9857812523841858,0.044401202350854874,0.6968749761581421,1.4691009521484375,8000,150,0.5,3
164,2,64,3,tanh,3,2,True,True,accuracy,6,32,sgd,0.49390625953674316,0.6931824684143066,0.4893749952316284,0.6933636665344238,8000,150,0.5,3
165,2,64,3,tanh,3,2,True,False,accuracy,7,32,adam,0.49546873569488525,0.6932277679443359,0.4893749952316284,0.6931642293930054,8000,150,0.5,3
166,2,64,3,tanh,3,2,True,False,accuracy,9,32,rmsprop,0.5026562213897705,0.6932060718536377,0.4893749952316284,0.6932969093322754,8000,150,0.5,3
167,2,64,3,tanh,3,2,True,False,accuracy,8,32,sgd,0.5026562213897705,0.6932286620140076,0.4893749952316284,0.693372905254364,8000,150,0.5,3
168,2,64,3,tanh,4,2,False,True,accuracy,6,32,adam,0.5026562213897705,0.6931963562965393,0.4893749952316284,0.6932585835456848,8000,150,0.5,3
169,2,64,3,tanh,4,2,False,True,accuracy,8,32,rmsprop,0.9860937595367432,0.0429677851498127,0.7281249761581421,1.3580021858215332,8000,150,0.5,3
170,2,64,3,tanh,4,2,False,True,accuracy,11,32,sgd,0.5026562213897705,0.6931906938552856,0.4893749952316284,0.6933308243751526,8000,150,0.5,3
171,2,64,3,tanh,4,2,False,False,accuracy,6,32,adam,0.5026562213897705,0.6931931376457214,0.4893749952316284,0.6933441162109375,8000,150,0.5,3
172,2,64,3,tanh,4,2,False,False,accuracy,7,32,rmsprop,0.9526562690734863,0.12333033233880997,0.7231249809265137,0.8372657299041748,8000,150,0.5,3
